scorer,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel
individuals,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3
bodyparts,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
17,1.490739749252025,1.0,8.59292476401371,1.0,2.514617267100472,1.0,2.748158678488499,1.0,2.3255633726045772,1.0,4.834669068302433,1.0,4.355881081939699,1.0,3.1534795068304957,1.0,13.42438889489927,1.0,34.74149206071905,1.0,2.746793039164044,1.0,32.49687043219936,1.0,2.1506696631514526,1.0,2.954730613778509,1.0,2.451235810769711,1.0,3.5509611374950754,1.0,3.3503219248305074,1.0,3.2014616974125825,1.0,,,3.2530650162577324,1.0,1.9335035557246385,1.0,6.7566254891032385,1.0,2.584206841566648,1.0,6.268275440661484,1.0,1.7342125013965015,1.0,2.037540183652812,1.0,2.0772513088213596,1.0,2.602608883409083,1.0,2.2074883918153883,1.0,0.5741254218374132,1.0,1.1339951499014564,1.0,2.4732377564641785,1.0,1.0236684033415995,1.0,3.8390675951330024,1.0,0.8177236697075169,1.0,1.5186102199049478,1.0
18,1.3604830024664023,1.0,3.8574091045675045,1.0,3.436954611280178,1.0,1.3086219706776923,1.0,3.7734050935461045,1.0,3.3781653304715857,1.0,5.039122641889111,1.0,2.7230359894793463,1.0,5.896259237855809,1.0,14.02707467720907,1.0,1.7609542867433847,1.0,3.4195487513206952,1.0,4.361209235980352,1.0,2.5905839110130944,1.0,2.9113326845278364,1.0,3.9622400230172605,1.0,1.9103457802188577,1.0,2.448294099980618,1.0,5.535315438166112,1.0,2.8682268041422545,1.0,3.0916717160785283,1.0,3.606868586461134,1.0,3.129577926813784,1.0,4.156540027474754,1.0,1.2244917312910162,1.0,1.7393935724844394,1.0,0.8484957277440948,1.0,2.108187135906134,1.0,2.390702825530595,1.0,2.6413301573260486,1.0,1.8733459370868752,1.0,0.5962147264199409,1.0,1.9818400540911616,1.0,1.1482704385291722,1.0,0.47349868004042844,1.0,1.1950167362844488,1.0
19,5.45560418285636,1.0,0.6366223370256338,1.0,4.6247639939784815,1.0,6.901617926254726,1.0,5.207810384412979,1.0,3.4324208658030426,1.0,4.543500192582814,1.0,4.303404466233695,1.0,1.214998353908322,1.0,14.740573258866174,1.0,4.638174209751073,1.0,3.024937024137846,1.0,3.9652986016187586,1.0,3.8355558919145216,1.0,4.443539692632429,1.0,1.6689239570108676,1.0,3.8650248382125545,1.0,7.995456007947308,1.0,5.4126264419410965,1.0,1.2814526912844284,1.0,4.684406686016921,1.0,1.936620768245548,1.0,0.8057605103255003,1.0,2.52326583954182,1.0,1.7533083014689954,1.0,1.9506680906807072,1.0,2.7540052650639724,1.0,4.130129426576552,1.0,2.3253758835938925,1.0,2.478630468625792,1.0,1.558710364371767,1.0,1.5606117390305791,1.0,0.5702534524227441,1.0,1.191557384266465,1.0,0.47282660669637333,1.0,1.8620171857424106,1.0
20,1.3826243162912744,1.0,1.9315322932842542,1.0,1.6287694741736711,1.0,1.7496335878965075,1.0,1.97730523693233,1.0,1.263539868781377,1.0,2.6892378102354826,1.0,2.928369682946469,1.0,2.13394095513443,1.0,2.184285924507128,1.0,0.31173225691291695,1.0,0.5610871542052783,1.0,2.702000740192347,1.0,2.130003286382466,1.0,2.797245788271035,1.0,2.507733040018409,1.0,2.709650346446963,1.0,2.7710981577706786,1.0,1.788927332230133,1.0,1.365053112519791,1.0,1.6354341931120584,1.0,1.3897269515987554,1.0,1.75229278375503,1.0,1.955922590789788,1.0,4.858276443349055,1.0,2.0006861323056055,1.0,2.4447253424464788,1.0,2.4388128259462554,1.0,2.441703708479061,1.0,2.355627517244631,1.0,0.5339850185164708,1.0,0.6078725195301672,1.0,1.695644420272088,1.0,1.6201867176347016,1.0,0.5823074789147237,1.0,0.9118771847129624,1.0
21,0.9589228463638452,1.0,1.4559476162974045,1.0,1.8348651176585151,1.0,1.0392364927431852,1.0,7.917936762860374,1.0,2.552954686167457,1.0,1.3667863768709496,1.0,2.2694074116385288,1.0,2.8144786013580556,1.0,4.601610935475402,1.0,6.981238233327979,1.0,4.4844746626556065,1.0,2.611282060597871,1.0,3.2493642455101868,1.0,2.1370336918261303,1.0,2.9620710659941993,1.0,2.1897024912074166,1.0,2.2469040923012225,1.0,6.755478369442075,1.0,7.142988730216504,1.0,4.765984892968091,1.0,1.3296616110875858,1.0,1.4332522457683419,1.0,4.189321663467731,1.0,4.672408372563329,1.0,2.0783074844690392,1.0,0.20796393918170367,1.0,4.121795846472751,1.0,2.0527566830970985,1.0,2.6408318765116237,1.0,0.04741307836455456,1.0,0.7807771769204969,1.0,0.6967962399438641,1.0,4.570268372863917,1.0,0.4196629600047895,1.0,0.9079603515572868,1.0
22,0.23247871047813548,1.0,2.5290031633036762,1.0,2.992924990707259,1.0,1.7842757651411074,1.0,3.232606688107918,1.0,1.5761678210139587,1.0,2.546406487582066,1.0,3.7148514102182153,1.0,1.8666119039586258,1.0,1.1744075101939162,1.0,2.915380249641544,1.0,1.4473374412464761,1.0,5.533518681634635,1.0,3.3282940074458813,1.0,4.0738861054280555,1.0,1.6732163637736381,1.0,3.6155359215474547,1.0,1.5514328860766289,1.0,2.9551734297668446,1.0,1.9790212227260293,1.0,1.7417720861237562,1.0,0.42953463189826835,1.0,2.1871922640682584,1.0,1.0248170568447623,1.0,1.2611665235011416,1.0,1.223488863864346,1.0,2.459613790821606,1.0,0.09729337079163218,1.0,0.6301468082914433,1.0,1.466023533235341,1.0,1.5786886963552982,1.0,1.5621433993075093,1.0,1.255063345014936,1.0,1.3040805189864302,1.0,0.74379365418103,1.0,0.9102098659099787,1.0
23,1.216345345697487,1.0,1.9290787956949953,1.0,1.0861717175474614,1.0,0.6869584099197245,1.0,3.011798134005691,1.0,1.176007227868951,1.0,1.7299456638865849,1.0,2.5636945995964173,1.0,3.6565275877532186,1.0,1.0464784666403166,1.0,3.2098080939519895,1.0,1.3194376058521933,1.0,3.2581474797804826,1.0,0.7562466528851524,1.0,2.5372041699476964,1.0,0.8833827030228337,1.0,0.46078302920142766,1.0,3.447824241460144,1.0,1.6877870126292853,1.0,1.0204670499335289,1.0,2.037799303169998,1.0,0.8850141241810573,1.0,1.0438946306979142,1.0,1.929075495767758,1.0,2.8890872260975544,1.0,1.3760207120533936,1.0,3.02614226367498,1.0,0.6572701119022069,1.0,1.8250821899301175,1.0,1.7200860443593928,1.0,1.2848147726423502,1.0,1.1379393656957375,1.0,0.23720033726790424,1.0,1.514561652756319,1.0,0.5379414466277821,1.0,1.384257201534468,1.0
24,3.3578804326538867,1.0,1.1216131240315996,1.0,1.0711909260257817,1.0,2.2947361835003726,1.0,2.6291854251839872,1.0,2.648935257797032,1.0,2.292916265370364,1.0,1.995897041432753,1.0,2.3220777334103206,1.0,1.0396393915522912,1.0,1.8538031179173273,1.0,2.240380417718579,1.0,4.400162383367266,1.0,2.5962472917655455,1.0,1.419100066943837,1.0,1.8756665481903034,1.0,1.572862676777599,1.0,1.7504425154800314,1.0,1.8903028857831252,1.0,2.547561382969988,1.0,1.2179072214253277,1.0,3.361788526329544,1.0,0.5837679333433439,1.0,2.524587887161006,1.0,1.5847589722099595,1.0,2.5641751110250586,1.0,1.0237265259824309,1.0,0.7661103053738721,1.0,1.3854172656640935,1.0,0.6468461950108184,1.0,1.9975550055004752,1.0,1.027601576487658,1.0,2.625744085016713,1.0,0.941753683295106,1.0,3.3082522576128093,1.0,2.9514526931665586,1.0
25,1.2737303482291735,1.0,2.3537725038753883,1.0,2.5378955849285894,1.0,1.4440992747666903,1.0,1.2180681425930144,1.0,3.2559467133231896,1.0,2.149067239525084,1.0,2.075525234729755,1.0,0.669669687981715,1.0,3.1042887583535337,1.0,2.1452097799516534,1.0,2.3470393636524274,1.0,1.3685353484656135,1.0,2.5124561687718776,1.0,0.9129693313578325,1.0,2.6683380798744767,1.0,1.410787723224147,1.0,1.2676265222848724,1.0,0.5274732220691755,1.0,1.9407962283557998,1.0,1.6482530145581582,1.0,0.8523831298189679,1.0,0.7420970286964198,1.0,2.0711583715399753,1.0,2.0789567095060173,1.0,0.022671568097463953,1.0,1.823713245003156,1.0,0.9379093772854442,1.0,2.605601849861198,1.0,2.2043785972468735,1.0,1.1191197433697537,1.0,2.2825961096961875,1.0,0.5241345247167486,1.0,1.8484028240618782,1.0,1.2874633975380272,1.0,2.129444293706702,1.0
26,1.743846323504409,1.0,0.6297435986177428,1.0,3.583124055904297,1.0,2.0771739224394588,1.0,2.2273091388489688,1.0,2.3868762012304336,1.0,2.203075123548916,1.0,1.6318854126439115,1.0,1.7495572373278852,1.0,1.7616722248724779,1.0,0.5516230597065664,1.0,0.2924790590794477,1.0,1.822891204470569,1.0,1.2160148025414335,1.0,3.2073242742198613,1.0,1.9257663005854546,1.0,2.060476886548347,1.0,0.5742097636163681,1.0,1.0310578492714393,1.0,1.5753619635391825,1.0,2.65689855056023,1.0,1.6283065389299183,1.0,3.2559330021389514,1.0,1.122715300512605,1.0,1.998066315215786,1.0,1.4344615714616575,1.0,1.8870320612008828,1.0,1.3280579806619877,1.0,2.2770002195871806,1.0,2.924121064525264,1.0,1.6049314627111513,1.0,1.8892191508663654,1.0,0.7871245136571682,1.0,1.8357625118734593,1.0,1.7995960657880987,1.0,2.1572596042201133,1.0
27,1.8061453691169178,1.0,2.7658884840435847,1.0,1.6553806208845,1.0,0.48024053474873624,1.0,1.9069310422770993,1.0,2.4575015768052033,1.0,1.3885942531927644,1.0,2.490070280132675,1.0,2.3572553955818782,1.0,2.2367982943451254,1.0,1.3460300888166994,1.0,2.2799537276005966,1.0,6.649989248111601,1.0,2.3348875775934124,1.0,3.408237667769025,1.0,3.30786411450048,1.0,2.739060057757042,1.0,3.1698253895128174,1.0,1.444056093093333,1.0,2.093744253723463,1.0,1.5222746138591596,1.0,4.8218431821003245,1.0,0.6674915729805336,1.0,1.1093854154440594,1.0,1.6823436034294386,1.0,0.9434341524452114,1.0,1.6822202590624273,1.0,2.942291793823329,1.0,2.033187890973235,1.0,1.0631711997603972,1.0,0.34474483317373183,1.0,2.5598517535201077,1.0,0.6765397253672599,1.0,1.493227234906903,1.0,1.3994302412052415,1.0,1.4054839024336405,1.0
28,2.3430503622414838,1.0,5.708576354924228,1.0,1.701313610126035,1.0,2.1127306078840915,1.0,1.0606498008296783,1.0,1.251023580912809,1.0,1.7315178312682775,1.0,3.4407448321547713,1.0,2.297198728886956,1.0,1.8066325027520176,1.0,1.0501048736983076,1.0,,,1.3210181679295827,1.0,1.9340367111304175,1.0,2.771884737863387,1.0,1.0642340454650503,1.0,4.021082068299567,1.0,1.3976541059932734,1.0,3.2379112094064664,1.0,1.173072035298772,1.0,2.03600000000001,1.0,1.8938428171155377,1.0,0.9073753357899988,1.0,1.8938764479236527,1.0,3.462674688734136,1.0,1.2564911460094206,1.0,4.067349628443548,1.0,2.0586641299639528,1.0,3.725754957052311,1.0,1.979198069926307,1.0,0.7813385949766015,1.0,1.9495243009513803,1.0,0.5966112637220258,1.0,1.002573688064909,1.0,0.7462439279484461,1.0,2.614890437475357,1.0
29,3.474205664608772,1.0,6.312268847252968,1.0,4.0227086645691745,1.0,7.734871686072079,1.0,6.6198230338884425,1.0,3.546847755401944,1.0,3.3484683065545187,1.0,5.4456604741757575,1.0,3.026509045088075,1.0,3.27724899877932,1.0,7.434311064247966,1.0,13.764355778604427,1.0,1.4813676113645733,1.0,1.6998449929331558,1.0,1.9745087996765218,1.0,10.409428850806353,1.0,4.669360234550338,1.0,2.1411702407795237,1.0,2.6349271337173636,1.0,7.411300155843089,1.0,5.242403223520644,1.0,2.5227905967210846,0.9950000047683716,2.3922228157092937,1.0,11.861202468156653,0.19499999284744263,2.367627082122544,1.0,1.1771737339917403,1.0,1.9655017171195701,1.0,2.0502897356227314,1.0,2.5170111243298146,1.0,0.15315351775268454,1.0,4.418172133360107,1.0,1.1496790856583328,1.0,1.7097242467719749,1.0,1.7149055367571446,1.0,2.586433065053102,1.0,2.843087054594029,1.0
30,0.3543247098354645,1.0,2.115297851367503,1.0,0.4166881327803847,1.0,3.2508278945523674,1.0,0.4772054065075112,1.0,0.43904669455537076,1.0,1.680048213593875,1.0,1.739127654889105,1.0,1.8401491787352513,1.0,2.6548257946614724,1.0,1.6770509831248424,1.0,0.23193102422916959,1.0,2.7954078414428007,1.0,1.378338492533671,1.0,1.9809252888486162,1.0,1.9607596083238366,1.0,0.906116881924664,1.0,2.193332168186119,1.0,0.9549097732480504,1.0,1.0455912203150894,1.0,0.986421416968357,1.0,2.2507636828595388,1.0,1.1257837270097664,1.0,5.3131119951395736,0.9990000128746033,1.8987753948268777,1.0,1.1285140672583767,1.0,1.7902058540849772,1.0,3.326013980728272,1.0,1.9303048981961792,1.0,1.2171676137656153,1.0,3.526776715359227,1.0,0.9247064399040456,1.0,0.06760177512470207,1.0,2.78656365439592,1.0,1.0198754825957623,1.0,2.6883679063699164,1.0
31,1.540726609438248,1.0,1.3986927742873905,1.0,0.8331608488161467,1.0,0.7714255788697932,1.0,2.01533186562137,1.0,0.7454936261299147,1.0,0.25894222829072855,1.0,1.2417105137672133,1.0,0.21192923347192352,1.0,2.4200349171034397,1.0,0.96699534642107,1.0,1.271876173218155,1.0,1.0613279417786003,1.0,3.8638679319864973,1.0,2.92097586433027,1.0,2.3336752396897604,1.0,4.243759300431637,1.0,4.66139045779262,1.0,1.3100549606791396,1.0,2.6407546269958324,1.0,3.3997242535240852,1.0,2.893167850659624,1.0,1.388174340635907,1.0,3.277823981467832,0.9990000128746033,2.0172025183406905,1.0,1.268552718652232,1.0,2.1994035555121974,1.0,2.8570743777508345,1.0,1.6924222286415105,1.0,1.1871394189395292,1.0,2.5241412401052243,1.0,0.24290944814882823,1.0,1.866404029142738,1.0,5.960946988524582,1.0,2.2360679774997867,1.0,2.324672019877173,1.0
32,3.4434230062541213,1.0,0.8721358839080097,1.0,0.968922081490576,1.0,5.907133111086744,1.0,3.9991790407532277,1.0,3.3919234955994946,1.0,3.574353088322408,1.0,1.224683224348264,1.0,6.4664178646295305,1.0,4.9782190590611854,1.0,3.801705406787851,1.0,2.8192282631954586,1.0,4.416605021561106,1.0,2.249737868930474,1.0,3.467322309794701,1.0,4.007602037670084,1.0,2.9988499462293774,1.0,3.530890114404599,1.0,3.6595152684474264,1.0,1.425502367588389,1.0,3.1947226796703774,1.0,22.821642668030556,1.0,1.912805531150536,1.0,26.17131332720251,0.9359999895095825,2.8801918338888224,1.0,0.46144555475152704,1.0,2.3601394026625147,1.0,3.6699629425921683,1.0,1.722394844395443,1.0,1.2421094959784567,1.0,2.1122296276683614,1.0,0.9122439366748376,1.0,1.8666869046521637,1.0,3.9989381090484004,1.0,3.251840094469578,1.0,2.000116996577883,1.0
33,0.5271442013005386,1.0,2.249453703771751,1.0,2.725363197677407,1.0,4.018451212251123,1.0,1.015993701205023,1.0,0.2139941877198498,1.0,1.3063646180661763,1.0,2.1778014926893507,1.0,1.6308240627072346,1.0,0.35317748347662875,1.0,1.5521639715472406,1.0,2.4502160186035304,1.0,3.0245853998512455,1.0,3.162732161232608,1.0,3.2088583095919754,1.0,3.0623406237440376,1.0,0.5756436521035977,1.0,1.7789131767499753,1.0,0.16124046602487457,1.0,2.00993942590803,1.0,2.2130545495961296,1.0,3.081379342062349,1.0,0.46680329508509744,1.0,0.2923853579509923,1.0,1.2080551639816726,1.0,2.9379457692894944,1.0,0.5746936902644254,1.0,4.166104053302253,1.0,1.1067810613342017,1.0,0.9791113496671432,1.0,1.3746847009957877,1.0,0.7436631232346237,1.0,3.5806252902992703,1.0,0.5833121350341927,1.0,0.9824703315544766,1.0,1.2293675748187314,1.0
34,0.8019997859386584,1.0,1.942225689364902,1.0,0.5582715886709922,1.0,1.218688554084241,1.0,1.1756251688316772,1.0,3.7476250224628456,1.0,2.3799664195849157,1.0,1.2183528717055092,1.0,1.8309869412826525,1.0,1.7796146645646045,1.0,3.01581722335657,1.0,,,0.6832049671870539,1.0,3.020646428132847,1.0,2.2639820247192346,1.0,3.5612634477087064,1.0,1.0246526257647213,1.0,0.4267142373135945,1.0,0.9240783899492396,1.0,1.9153468764824098,1.0,2.4581651194386147,1.0,0.5071906680374597,1.0,1.9820569660412095,1.0,2.0004789735916444,1.0,1.0216595211629091,1.0,1.1134116860791123,1.0,0.7669602106211406,1.0,1.6891321004618396,1.0,1.0871277259882153,1.0,0.5971651060462839,1.0,1.581896152784089,1.0,1.0565864276933497,1.0,0.8041502251447945,1.0,2.1516493171838666,1.0,2.2151440908082707,1.0,1.965426432427019,1.0
35,2.0416500224469267,1.0,1.7284448924420202,1.0,1.1469505487352538,1.0,2.743116863926584,1.0,3.0556216907252955,1.0,2.210923218971979,1.0,4.745261995338983,1.0,1.1789175359595427,1.0,7.976231987103825,1.0,4.72297369601464,1.0,1.2563905554657364,1.0,1.8606431400004044,1.0,1.3096294729219635,1.0,1.3956284164766057,1.0,0.9188975093160752,1.0,1.798518554182515,1.0,2.5719095916136103,1.0,3.7658538363014418,1.0,3.355219505715731,1.0,3.59468310966278,1.0,2.805435567515245,1.0,8.860209467266353,1.0,2.6340666430979636,1.0,2.9191755236286596,1.0,2.815390336570451,1.0,4.494509719432605,1.0,3.556795562589439,1.0,2.2395414028925287,1.0,3.5428906139130705,1.0,8.343023011519897,1.0,5.826031323593141,1.0,2.0223888463554442,1.0,8.459269725680073,1.0,11.210149164280143,1.0,1.4429488870665874,1.0,11.839238800863512,1.0
36,1.0711190238318442,1.0,2.1404301996271498,1.0,3.2102882518165927,1.0,2.382539246720738,1.0,1.1229346392423578,1.0,1.041662272608489,1.0,1.2577290245721,1.0,1.0851315057816706,1.0,1.4181069634264434,1.0,1.1246569352798874,1.0,3.6578428312612363,1.0,1.844986800439747,1.0,2.4238663068047455,1.0,0.7902399942415723,1.0,2.40833790902928,1.0,3.851214565347483,1.0,1.5788616170764502,1.0,1.2508768765623621,1.0,1.5508558650739703,1.0,3.3151209790841882,1.0,1.2613740654157934,1.0,5.251060006819449,1.0,1.873080582257975,1.0,2.7064955863098636,1.0,0.6227925303636732,1.0,1.7154875078737784,1.0,0.7108095846296058,1.0,1.0346104296070913,1.0,1.796030049584576,1.0,1.2952377508028141,1.0,0.48353510302781355,1.0,0.8291221060184627,1.0,2.700939684917927,1.0,3.647938792976855,1.0,1.9323431144748953,1.0,0.519845608532154,1.0
37,4.417824252152863,1.0,2.2034813697491367,1.0,2.118572313662657,1.0,3.2413920090515504,1.0,0.9948538943282225,1.0,1.565969693973044,1.0,1.65411180185378,1.0,2.6435163942105095,1.0,2.8927738566910453,1.0,1.6948256420225123,1.0,,,2.2505991162682064,1.0,2.5402385938044847,1.0,2.0088854833057637,1.0,0.966009884356702,1.0,3.2657552921561463,1.0,2.1218943396385987,1.0,1.860640715698011,1.0,2.6657347741196338,1.0,0.6448104048477776,1.0,1.6982827381940957,1.0,0.583768832682343,1.0,1.3600583811490874,1.0,0.11373700897012369,1.0,0.9056844605148796,1.0,4.254735048932278,1.0,0.8477815926371943,1.0,3.5408638456546107,1.0,1.7885796827832998,1.0,2.3459035295838966,1.0,1.1190051366791522,1.0,1.7136564485582746,1.0,1.9244110604753102,1.0,0.9308678907672283,1.0,0.8382058350806229,1.0,1.04635670782978,1.0
38,2.841822213085538,1.0,2.0096970486585293,1.0,1.3100787524552489,1.0,3.7941603583656542,1.0,2.884505025421917,1.0,2.4427930206422532,1.0,1.277845426737701,1.0,0.962659226952758,1.0,1.3871221161018978,1.0,2.8347084510297162,1.0,3.131084335297511,1.0,2.1290368500044807,1.0,2.564496194413306,1.0,3.8318975167891085,1.0,1.2749588200075699,1.0,1.2969179984017734,1.0,1.5904118947127182,1.0,2.303761961050355,1.0,1.840251947400652,1.0,1.428937176816498,1.0,1.6357227031741126,1.0,0.6691992148101331,1.0,0.839718042927881,1.0,1.3573113220000077,1.0,1.9574425659040215,1.0,2.7328687587928706,1.0,0.8230529468764644,1.0,0.6575445463048397,1.0,0.8894291275643037,1.0,0.943292355112968,1.0,0.8982775258433091,1.0,1.427412700699951,1.0,0.8810174369301411,1.0,4.4165174636658495,1.0,2.1594322057758597,1.0,1.3298840976452677,1.0
39,3.1491461866676036,1.0,3.9345251846610596,1.0,1.05369066881804,1.0,2.577054677468997,1.0,1.3471458257998028,1.0,2.112734546168847,1.0,5.042053053265653,1.0,3.975059809866668,1.0,1.5837294765604877,1.0,0.7954393184282554,1.0,0.7744063822639392,1.0,4.968018977249937,1.0,2.0665826289037192,1.0,1.0016082866698377,1.0,4.337667620335069,1.0,0.39535239099935204,1.0,3.392354738957113,1.0,7.192363029548302,1.0,5.107448677531509,1.0,4.065995761950948,1.0,,,5.095429026920021,0.9990000128746033,1.705480809666248,1.0,3.1525161367749606,1.0,0.8906818381293038,1.0,2.366443880113256,1.0,1.2929504626529187,1.0,2.230882514579901,1.0,0.6344076347483568,1.0,3.1321711287414886,1.0,3.4995596985794966,1.0,3.4110348854289754,1.0,3.679275385990584,1.0,,,2.4923995921849333,1.0,2.446005740603865,1.0
40,3.201602600655897,1.0,2.0123536966919944,1.0,3.820920117461767,1.0,1.5288796728055931,1.0,1.176259453772565,1.0,2.579975098169265,1.0,1.5884146739448108,1.0,1.9630167536455123,1.0,1.1438756132099972,1.0,0.32336947934285204,1.0,0.4674806866801542,1.0,0.6538652628006201,1.0,1.5701383179148154,1.0,2.3725352020518877,1.0,2.775492735754507,1.0,1.358653092637803,1.0,1.449848147836085,1.0,3.005491499521271,1.0,1.7939641187175581,1.0,0.9395752264536037,1.0,2.1774043510756362,1.0,2.04715603018679,1.0,0.35801704863298,1.0,3.2640344336048113,1.0,2.2330667487442337,1.0,1.582818279783068,1.0,2.408049364566353,1.0,0.9206179499408874,1.0,0.48105248242927573,1.0,1.1799229222096401,1.0,2.712983785937932,1.0,3.2241707126807966,1.0,0.9700338176384194,1.0,2.08960815992068,1.0,0.6686744319369247,1.0,1.4505076875139917,1.0
41,3.286732633138066,1.0,0.6475563728886914,1.0,1.5551950320221695,1.0,3.2743774522914095,1.0,3.987914582085048,1.0,5.593020429689727,1.0,5.992899702453392,1.0,3.5206919620164907,1.0,4.163358674071031,1.0,4.6269242119148934,0.07000000029802322,3.0056862086120564,1.0,1.9280633327891117,1.0,1.9400980722561993,1.0,3.8384213465532864,1.0,2.54995506798073,1.0,2.1541366651795477,1.0,1.7391790573760968,1.0,2.1756747182999967,1.0,2.4114753340512065,1.0,2.6417178754142627,1.0,0.7229873554746736,1.0,5.498614059474592,1.0,1.2631109091505572,1.0,4.668771488229421,1.0,0.33045221634484645,1.0,1.2249716505392356,1.0,3.1203860348034547,1.0,2.628298619467675,1.0,2.44168895094066,1.0,1.5471508479882683,1.0,4.919811793522146,1.0,5.139805909674678,1.0,5.206397220253548,1.0,6.727548727920289,1.0,3.1709941758150175,1.0,5.987594138473045,1.0
42,2.4653159255902533,1.0,1.6019929881181452,1.0,1.1939851591913475,1.0,1.0075826243392298,1.0,0.3714675019301016,1.0,0.9425138205511883,1.0,0.8469037211086555,1.0,1.9614616739901063,1.0,1.8293294714424542,1.0,0.9574576798560958,1.0,0.7612725899059056,1.0,3.9218396603115253,1.0,3.31776559281926,1.0,1.0581972210167774,1.0,1.8877105871068847,1.0,0.8739478046852361,1.0,1.530498517376562,1.0,3.002002846368442,1.0,,,1.4953869538265165,1.0,3.3354148972572646,1.0,0.2180255256532027,1.0,2.6183001366818295,1.0,3.3353603909731473,1.0,0.1275842224041363,1.0,2.0018951665759084,1.0,2.362120897253289,1.0,4.46494616053808,1.0,1.9740384829416735,1.0,2.533968676265121,1.0,1.5209881485302146,1.0,1.404787489229429,1.0,1.4937095076146627,1.0,2.2273188951985046,1.0,1.097362933643954,1.0,2.4284385580904617,1.0
43,0.9186543318630247,1.0,2.0206223170959485,1.0,3.369919455957369,1.0,2.205090484223173,1.0,2.690412696131118,1.0,2.1690037724622213,1.0,3.26161158938287,1.0,,,,,,,5.226181873674253,1.0,,,3.5190741399345016,1.0,2.8713720171420594,1.0,8.943476642446933,1.0,0.6277857681476451,1.0,5.673441850292005,1.0,14.411388906145078,1.0,7.055107384731949,1.0,6.477895552624499,1.0,7.462414177982278,1.0,10.104787915355407,0.9800000190734863,3.985002927757077,1.0,3.038022698056011,1.0,1.3574415842694136,1.0,2.4546050363991245,1.0,0.238643373806587,1.0,1.930470855371389,1.0,1.247443411459657,1.0,2.939577989406468,1.0,6.142907442891962,1.0,1.6971220720390991,1.0,6.797067349916136,1.0,5.371344837891173,1.0,1.9017905193901634,1.0,2.114391861357727,1.0
44,1.1122064736674826,1.0,1.018883491466328,1.0,1.9432693445342224,1.0,1.4947141673913948,1.0,1.0877837486196404,1.0,1.6058695740643143,1.0,0.5723529180901207,1.0,0.9593054936238734,1.0,3.3707328383262767,1.0,2.4643673907502857,1.0,1.3488636527741182,1.0,0.39842452992252825,1.0,1.5926082787095392,1.0,1.212145397596723,1.0,1.4252284722014386,1.0,1.033566089999019,1.0,2.072958712462561,1.0,1.1309671442942844,1.0,3.1763001922821625,1.0,3.9054825023013793,1.0,2.3356733752752636,1.0,2.5457739093223863,1.0,2.9443815772550916,1.0,2.617957920409233,1.0,1.6144921655289053,1.0,2.0233270495028344,1.0,1.0824252904234508,1.0,2.2078487988145756,1.0,0.9417028431926372,1.0,3.9775128389997327,1.0,2.2170544506157555,1.0,1.543231040660901,1.0,4.241411832144225,1.0,2.4724641349316134,1.0,0.7680435443730709,1.0,0.45891469517842076,1.0
