scorer,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel,Daniel
individuals,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus1,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus2,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3,mus3
bodyparts,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend,leftear,leftear,rightear,rightear,shoulder,shoulder,snout,snout,spine1,spine1,spine2,spine2,spine3,spine3,spine4,spine4,tail1,tail1,tail2,tail2,tailbase,tailbase,tailend,tailend
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
7,2.1052529724471056,1.0,3.3555350236378194,1.0,1.934754764821618,1.0,1.678320302001188,1.0,2.28440637954432,1.0,1.936793347455361,1.0,1.7206085187128022,1.0,0.8233758338141279,1.0,1.3915849369048283,1.0,1.6455537368940856,1.0,1.7241939232329504,1.0,1.2673403932544596,1.0,1.9006495074906546,1.0,3.4884936121210854,1.0,1.7692847148327837,1.0,1.2235129215032976,1.0,1.7542356711875688,1.0,1.9027852034073862,1.0,0.8157992303846492,1.0,2.5486585223756837,1.0,1.2825842892496795,1.0,1.3415957858828442,1.0,1.4256011493922165,1.0,2.1117960938833944,1.0,1.211219530925569,1.0,1.5057500086033255,1.0,1.0439595830889348,1.0,1.3148602908552238,1.0,2.412148619320552,1.0,1.9044110894455724,1.0,1.4202023590244612,1.0,1.9295114643083537,1.0,4.907998186431353,1.0,2.717538460467929,1.0,0.5206580440300461,1.0,3.249020161797893,0.9990000128746033
8,0.6788306719937048,1.0,2.181845303726149,1.0,2.7962493135983197,1.0,2.01151043039076,1.0,0.5866010835944687,1.0,1.7093009085634423,1.0,2.2943545080676198,1.0,1.0862448486424605,1.0,2.849597662514949,1.0,2.0659135612410915,1.0,1.6212096846628947,1.0,1.3144523162303943,1.0,3.73819592221124,1.0,1.7293048379242044,1.0,2.712403657698668,1.0,1.9576773617232601,1.0,2.699984754668385,1.0,0.7567784362351858,1.0,2.9446944222772586,1.0,1.6873134090014599,1.0,1.41427082854712,1.0,0.5105090020608585,1.0,0.780974448078199,1.0,0.012541588445301028,1.0,3.0399462149846075,1.0,2.2349566292038805,1.0,0.7838529168216868,1.0,1.1153194375818487,1.0,2.900111186152366,1.0,1.5588326304211941,1.0,1.7541691611357582,1.0,1.265366910418678,1.0,0.6675435209196952,1.0,3.4645716519278684,1.0,2.259922756767594,1.0,2.3254134205749573,1.0
9,1.2985190969186313,1.0,5.1261352457286105,1.0,2.600507578892023,1.0,2.0124695099988634,1.0,1.52835590703979,1.0,2.5992008539771385,1.0,3.182344402891061,1.0,3.5453083547812705,1.0,1.0927502013922734,1.0,2.306318909922678,1.0,1.0038295857036765,1.0,,,2.5745868123351223,1.0,1.8746164521065762,1.0,2.5528208156466947,1.0,1.5042260103786154,1.0,0.8840624255391802,1.0,1.0638765246003254,1.0,1.7145724176416755,1.0,0.8513159589691947,1.0,0.6578098778224218,1.0,0.26787800898981684,1.0,0.4397977785954792,1.0,0.37139503079982805,1.0,1.052106662393131,1.0,3.764987560023043,1.0,2.49353558159326,1.0,2.7866458073365616,1.0,1.3145800501017035,1.0,3.1269754942732564,1.0,2.4390768313475046,1.0,0.4265279966615709,1.0,0.6492519202891711,1.0,2.796882313830696,1.0,1.0476391401710317,1.0,3.6444536474183535,1.0
10,1.854065804403769,1.0,3.0912263546150562,1.0,0.9572041674112909,1.0,1.0783236987337652,1.0,2.5400110496954795,1.0,1.6964535585410843,1.0,4.146189467271337,1.0,2.5768460817399,1.0,2.1483185829061475,1.0,1.1316882941273447,1.0,1.673817283434856,1.0,0.8474448528704888,1.0,1.5808685320901037,1.0,3.715528933259307,1.0,0.850619183914417,1.0,2.4271737880115283,1.0,0.7681561862282125,1.0,0.7201534304021098,1.0,1.052132907759584,1.0,0.7983958176520835,1.0,3.892696934440627,1.0,2.605652970843576,1.0,1.9922364048370451,1.0,4.016366552703712,1.0,0.7633958299035858,1.0,4.160961266616138,1.0,3.215966783276742,1.0,1.8266590396068454,1.0,0.6037574405470177,1.0,1.2591067219124643,1.0,1.9808129535815524,1.0,2.042639102597375,1.0,3.130227835151332,1.0,1.1298061407037072,1.0,0.6895948140034284,1.0,2.6316906554505763,0.9919999837875366
11,1.5113700133503094,1.0,2.1692297985701425,1.0,2.065230193847275,1.0,0.8443619517403167,1.0,6.172126848096974,1.0,4.875043210907486,1.0,3.0046551247349575,1.0,2.804221723165956,1.0,2.9305310645430596,1.0,5.630883930278857,1.0,1.021627943037546,1.0,16.98817190583626,1.0,4.012446712093893,1.0,3.834071648950511,1.0,6.498118670536506,1.0,4.973191608094117,1.0,3.8955084214440423,1.0,2.3602865697346953,1.0,7.89369730450343,1.0,7.4690358341229635,1.0,1.6433663289962384,1.0,5.808453767376416,1.0,2.7326933182108903,1.0,1.292880250053452,1.0,3.443859763101732,1.0,5.97348260012855,1.0,1.627017016171814,1.0,1.6556550416748887,1.0,1.3862328870186964,1.0,2.6917120884923804,1.0,4.187199757300098,1.0,1.2448941172524461,1.0,2.345653738761478,1.0,2.107324326507232,1.0,2.067686439909341,1.0,2.237068877874014,1.0
12,1.1390385488751786,1.0,2.2401264668296403,1.0,4.978919012197866,1.0,3.137622612020077,1.0,2.577173907158497,1.0,2.246497122726718,1.0,5.180747651445188,1.0,0.842527656260102,1.0,5.7412605085475645,1.0,2.1856981503010866,1.0,0.7753034750272078,1.0,5.88540634837967,0.984000027179718,5.640157643471918,1.0,4.720651829279205,1.0,2.482767052274356,1.0,3.665356109449278,1.0,3.3431627227649434,1.0,4.290341720275796,1.0,3.3738555090819213,1.0,2.2063792322167965,1.0,3.090805670730701,1.0,2.5727758782916172,1.0,2.2590611604850266,1.0,5.940071262426291,1.0,0.7468373433721954,1.0,1.2642246993030857,1.0,6.654952298593283,1.0,1.04623175823892,1.0,3.185299368674029,1.0,4.418851131690385,1.0,7.0036134627651405,1.0,8.622513739659995,1.0,2.3271904551050135,1.0,2.262469976377228,1.0,0.16488633681587672,1.0,6.794465141286154,1.0
13,3.330315855807906,1.0,1.1729717872298295,1.0,1.2437302716871035,1.0,3.8329568683770945,1.0,3.353937374440576,1.0,5.3217954989440335,1.0,4.437971264078177,1.0,1.3901151940891765,1.0,2.9365308213308476,1.0,4.4740402024598005,1.0,0.5361431625326266,1.0,3.149231002857219,1.0,0.9766951110330981,1.0,3.5405830437290438,1.0,2.6659423656071195,1.0,1.1450367448826684,1.0,3.0100863092349734,1.0,7.731504331296654,1.0,3.13885771617803,1.0,5.335827035457261,1.0,1.8503183164465034,1.0,0.8874208426968871,1.0,2.919350726361086,1.0,4.8251126116352046,1.0,4.227047061747141,1.0,3.3309881113350492,1.0,3.11320291225118,1.0,0.6786965287201797,1.0,1.7619198407476182,1.0,3.1379763224577566,1.0,1.5789093266274055,1.0,0.7902395892420434,1.0,5.976142503425651,1.0,1.9602201020102903,1.0,3.940395600256339,1.0,1.8214020242977895,1.0
14,3.3463145435997723,1.0,2.869158891956099,1.0,1.1765033965370666,1.0,2.5330951402919757,1.0,4.602467260201326,1.0,1.0820132905411557,1.0,4.370790342188826,1.0,9.305081225716824,1.0,10.553662882440134,1.0,10.294129649170383,1.0,3.519497625237031,1.0,11.946041717173223,1.0,1.69062961940339,1.0,5.040139563809463,1.0,2.4947070655946817,1.0,3.4053775915114692,1.0,2.0203774391191716,1.0,7.139864777698263,1.0,8.663111498674487,1.0,5.372049289943444,1.0,6.134131288886396,1.0,2.1361545857396473,1.0,1.2692996649824013,1.0,3.0157450484588835,1.0,1.3903567231414422,1.0,2.0254204294110316,1.0,3.7801119988039042,1.0,0.7512524658224466,1.0,2.4989606498308525,1.0,3.2749167264170715,1.0,5.015740039497812,1.0,1.5136330365792516,1.0,2.4760654675872424,1.0,2.8137574321724945,1.0,2.7046571404700677,1.0,5.594633837275921,1.0
15,1.648136996447016,1.0,1.3642240090749038,1.0,1.9937131100790273,1.0,3.353344944698456,1.0,3.534162258574115,1.0,10.197598673982585,1.0,7.272102035296133,1.0,3.490377148372576,1.0,3.272703168144857,1.0,1.9168552497128433,1.0,0.8688259825210004,1.0,10.633714189696867,1.0,1.446873322953549,1.0,1.8307599522254612,1.0,6.169446463030609,1.0,3.0863482993390776,1.0,4.9620318638767555,1.0,3.1927847831722103,1.0,3.369603191879371,1.0,0.8204301485655946,1.0,4.855054849158867,1.0,0.8627792971769868,1.0,2.0615004194825346,1.0,2.291796243526388,1.0,3.4352741929671646,1.0,1.0798772387013142,1.0,1.1159025725222955,1.0,1.3974326585758954,1.0,3.5623981805811273,1.0,1.419289769495181,1.0,0.8051140994074298,1.0,2.1820037195395345,1.0,6.523360192395408,1.0,4.510729179538043,1.0,3.5423581148100682,1.0,4.956695312707959,1.0
16,2.47046959098869,1.0,4.607344089362569,1.0,3.3879636952010106,1.0,3.565882716948564,1.0,2.8210778082144294,1.0,1.4144062358459826,1.0,1.9793544402153418,1.0,0.8299168633062087,1.0,1.850986949474375,1.0,4.673856171919959,1.0,1.4786615767538769,1.0,4.210941506123904,1.0,0.7615810656499122,1.0,2.346545790758804,1.0,1.0835851768216402,1.0,2.3270862624362105,1.0,2.017402537918474,1.0,2.3084956351548493,1.0,,,0.7813779493876175,1.0,1.7634767124174369,1.0,3.7223401307147133,1.0,1.2923150460775412,1.0,1.9035758811535888,1.0,1.088786939671879,1.0,3.3425559082833725,1.0,1.701753507415201,1.0,1.1330637156245797,1.0,3.048131558840604,1.0,1.3759087905816703,1.0,1.2207509983613078,1.0,1.200536546715689,1.0,1.1026898929435895,1.0,1.7616991735583745,1.0,0.608871086519984,1.0,1.4738252949383421,1.0
