scorer,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie,Mackenzie
individuals,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1223154901099,0.9769999980926514,,,2.890003633215719,0.9890000224113464,,,6.939775572740083,0.9980000257492065,4.346131268151043,0.9900000095367432,2.2837550218882843,0.9779999852180481,1.358405315066181,0.996999979019165,3.069498493239559,0.9940000176429749,2.059269045073994,0.9980000257492065,3.014692355780276,0.9990000128746033,1.3820206221326645,1.0,1.1866545411365468,1.0,2.0703589060836736,1.0,1.7799876404065214,1.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2632105921025416,0.9850000143051147,,,3.9821799306410037,0.9950000047683716,2.213505138914269,1.0,2.608871978461175,0.9980000257492065,1.3781908430982808,0.996999979019165,2.527839591429824,0.9929999709129333,3.8331173997153027,1.0,,,1.642914483471348,0.9959999918937683,2.5407654358480287,0.996999979019165,1.973911092222747,1.0,1.757323533103684,1.0,2.1370617679421584,1.0,2.288576194929944,1.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.630597196054654,0.9990000128746033,,,3.904615217918415,0.9990000128746033,,,4.657321118411313,0.9980000257492065,0.22631835983850182,0.9990000128746033,0.7259676301323441,1.0,2.1234278890511082,0.9990000128746033,,,1.3993216213580075,1.0,,,3.9584567700052093,1.0,1.5896949392886721,1.0,1.303767617330648,1.0,2.3396292441324946,1.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.004909316435339,0.9919999837875366,,,9.283017451238594,1.0,1.3496373587004582,0.5080000162124634,6.579933206347938,0.9819999933242798,0.42757104672791324,0.9990000128746033,4.486112459580138,1.0,11.334480579188455,0.9649999737739563,4.941179211483834,0.9959999918937683,7.818778229365508,0.9990000128746033,,,2.4903110247517417,1.0,1.264816192179729,1.0,5.563219571435229,1.0,2.696458417999447,1.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8249517801848918,0.9940000176429749,1.937118736680868,1.0,2.692432357553275,0.9990000128746033,,,4.25334609454724,0.996999979019165,1.925580431973708,0.9990000128746033,2.9700890559038773,0.9980000257492065,3.5542595572073754,0.9990000128746033,,,1.0733149584348636,0.9959999918937683,,,3.6045161949975837,1.0,3.70424216271022,1.0,2.454865576767897,1.0,2.894417039750819,1.0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.398493586177561,0.9679999947547913,2.7641463420014647,0.996999979019165,1.634223056990677,0.9990000128746033,,,2.293618320470948,1.0,2.8334849567272995,0.9940000176429749,6.686535500541364,0.9990000128746033,5.354419669768139,0.9990000128746033,,,1.4956058972871262,0.996999979019165,,,,,1.585300287011892,1.0,2.4573501988931143,1.0,3.962345896057037,1.0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.286200547936946,0.7889999747276306,,,35.188785287361064,0.03200000151991844,,,10.17985564730658,0.9940000176429749,5.7173641654175,0.7080000042915344,11.997435434291805,0.17100000381469727,5.802923573510175,0.9990000128746033,,,7.181724375106594,0.968999981880188,,,1.2865457628860204,0.9950000047683716,4.892553116727513,1.0,4.864080694231946,1.0,2.7804420511853962,1.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.094673613366529,0.9990000128746033,,,0.2295386677664675,1.0,,,4.273647271359686,1.0,6.68575089275691,1.0,3.2611864405458326,1.0,2.032270159206216,1.0,,,5.5214273516908765,0.9779999852180481,,,,,3.1786835325335603,1.0,1.1711917007902684,1.0,1.546714259325228,1.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37894776520741,0.996999979019165,,,10.237110774041655,0.9959999918937683,,,9.410079542703144,0.9990000128746033,9.93762209987884,0.9929999709129333,3.1275902864665786,1.0,2.070603776679634,0.996999979019165,,,11.562718884414688,0.9959999918937683,6.211795553622165,0.9990000128746033,1.7829436334332156,1.0,3.1380275652071554,1.0,1.927024909024267,1.0,2.7196089792468423,1.0
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.210205872763887,0.9900000095367432,1.948469399297821,0.9959999918937683,1.3093425831309526,0.9879999756813049,1.4938038693215292,1.0,0.6416268385907807,0.9990000128746033,3.206707033702956,1.0,3.515014935956895,0.8569999933242798
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3155261304892623,0.9990000128746033,,,2.7573991368679183,0.9950000047683716,,,0.5080000000000098,1.0,3.239600747005703,0.9990000128746033,5.951659684491367,0.9549999833106995,0.5322114241539705,0.9980000257492065,,,3.827976619573331,0.9959999918937683,,,2.419541278837795,1.0,4.831334805206543,1.0,2.579793984022763,1.0,4.161555598571285,1.0
