scorer,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,Will,cond
individuals,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,White,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,Yellow,
bodyparts,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,BL1,BL1,BL2,BL2,BR1,BR1,BR2,BR2,Body1,Body1,Body2,Body2,Body3,Body3,FL1,FL1,FL2,FL2,FR1,FR1,FR2,FR2,Front,Front,Left,Left,Middle,Middle,Right,Right,
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,
7,21.482584413239888,0.9490000009536743,,,13.787716905600703,0.9980000257492065,3.4290390103839257,0.9909999966621399,4.8408174850206125,1.0,3.0904341512088767,0.9990000128746033,5.385187312611906,1.0,10.814262682925277,0.9929999709129333,15.075144164650387,0.08399999886751175,22.486421286476,0.4269999861717224,7.582416257664726,0.9990000128746033,28.926874100985657,0.9959999918937683,4.87240617370362,0.9509999752044678,2.6451189181100854,0.9959999918937683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.256199262013144,0.6959999799728394,,,1.1549061573766441,0.20399999618530273,,,,,,,,,5.215335368272124,0.5400000214576721,,,4.046777519643705,0.9649999737739563,,,8.750175914239437,0.7910000085830688,3.521645443584258,0.9869999885559082,5.289704832917549,0.9589999914169312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2417322236996817,0.9879999756813049,,,3.0517784790397333,0.9079999923706055,0.17229610335584916,0.9860000014305115,1.2714173970847658,0.9890000224113464,1.7824711905112884,1.0,4.467948846473784,1.0,16.490158400590786,0.8019999861717224,,,13.84449740171031,1.0,1.4901190879516997,0.9980000257492065,18.434697879154708,0.9909999966621399,,,6.769781047781517,0.9990000128746033,7.5083168347706755,0.32199999690055847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
9,38.63677267646742,0.9430000185966492,,,16.621236092519585,0.8240000009536743,,,2.308552898954959,0.9980000257492065,6.373415246341281,1.0,0.7854881194516169,1.0,22.523914848909293,0.9919999837875366,,,36.29134272770569,0.22599999606609344,,,18.439355767943,0.7059999704360962,85.37303552038422,0.9829999804496765,17.43732266625237,0.023000000044703484,5.05929329065943,0.8109999895095825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.754464048073675,0.9760000109672546,,,3.3906388486933907,0.996999979019165,21.35363546656331,0.7480000257492065,5.89789790107337,0.9990000128746033,1.633821449356365,0.9980000257492065,10.665392606984009,0.8920000195503235,1.6405399921893704,0.9879999756813049,,,19.63769595891059,0.6209999918937683,5.359040551714,0.996999979019165,11.94649228024764,0.9409999847412109,,,20.038021197204774,0.7979999780654907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
10,10.090709993447028,0.996999979019165,619.1328849311429,0.20200000703334808,3.835359591748784,0.9950000047683716,4.02720286815638,0.9879999756813049,2.624239059114299,1.0,1.0815657538020482,1.0,1.5594275447653017,1.0,1.893657178889106,0.9819999933242798,,,9.997687513986664,0.9959999918937683,3.4671366923015836,1.0,19.37331968710726,0.9900000095367432,613.1067967356997,0.8709999918937683,6.3617944562434445,0.996999979019165,8.25959572764041,0.09099999815225601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.878078632113294,0.5960000157356262,,,9.194156246203322,0.7570000290870667,22.2047014180304,0.968999981880188,7.540542720609046,0.9990000128746033,3.7860708881266074,0.5789999961853027,12.51727259313176,0.9990000128746033,18.75040054717525,0.5649999976158142,,,11.647429020586815,0.27399998903274536,,,33.84524335444605,0.2160000056028366,,,19.119104544784744,0.2750000059604645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
11,5.758921190361265,1.0,,,1.1316968026942538,0.9990000128746033,8.929572235183354,0.984000027179718,2.5672069179184973,1.0,1.5403727535438811,1.0,2.9060451380522743,1.0,8.894479758413976,0.9959999918937683,,,10.780719702149321,0.9980000257492065,2.977888390220083,1.0,11.967826527387128,0.9980000257492065,,,4.785641293672604,0.996999979019165,5.752539445424203,0.9710000157356262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.265263086672873,0.9900000095367432,6.660206306583737,0.9980000257492065,3.727243984989432,0.9629999995231628,3.7554284435472907,0.996999979019165,2.3474110128083208,1.0,2.023176577962182,1.0,3.813066903352185,1.0,3.4573686102911263,0.9980000257492065,7.878022410296032,0.9300000071525574,6.42532299245925,0.984000027179718,3.0766226410181075,1.0,23.417879736437094,0.972000002861023,,,10.937010862066995,0.9810000061988831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
12,10.419878943506843,0.9700000286102295,,,10.028526327980494,0.9869999885559082,11.950402921596813,0.9509999752044678,9.328077434949034,0.9980000257492065,6.292371509458434,0.9950000047683716,5.215792653846085,0.9950000047683716,15.670468340773368,0.9879999756813049,,,12.710642193919634,0.9789999723434448,,,61.47790026248364,0.9810000061988831,,,56.21049833509686,0.8040000200271606,173.21374195666004,0.9909999966621399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.558428396474897,0.9599999785423279,,,40.12329862934372,0.5170000195503235,20.498330567114085,0.1850000023841858,,,,,,,16.893824412798864,0.8149999976158142,,,24.810235917549388,0.875,,,5.614879827129082,0.7979999780654907,,,26.647375516612655,0.9509999752044678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
13,48.97544891287564,0.07100000232458115,,,12.217105282323915,0.5419999957084656,19.315695187731286,0.05299999937415123,10.365749020485337,0.10300000011920929,,,9.1530903907417,0.7730000019073486,40.93346095143035,0.7760000228881836,,,29.03183592337759,0.07000000029802322,,,33.16243721018992,0.06400000303983688,,,51.40375350661754,0.5090000033378601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
14,6.328070270934744,0.6949999928474426,186.11894971888597,0.039000000804662704,25.399604864121677,0.13500000536441803,,,,,,,,,22.918234389060938,0.1809999942779541,,,9.571081876498157,0.17499999701976776,,,12.678989911097808,0.03400000184774399,,,,,10.610742036278051,0.0560000017285347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.089956608171667,0.996999979019165,1051.1476292371815,0.03099999949336052,25.72214206828289,0.9739999771118164,5.525403788019318,0.9829999804496765,3.8878497430924073,1.0,9.966987738013062,1.0,7.3474902758798954,0.9980000257492065,11.307569282404879,0.996999979019165,,,1.627946790107531,0.9879999756813049,2.0010428858171587,0.9860000014305115,4.149521283779229,0.9819999933242798,,,17.762485061814196,0.9539999961853027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
15,21.646631964490155,0.48899999260902405,,,29.667857444601665,0.07000000029802322,86.16652226385456,0.31200000643730164,7.124169871716542,0.7080000042915344,10.0460510098258,0.9990000128746033,,,16.292637187817263,0.8849999904632568,,,43.925875973579906,0.1979999989271164,9.002757710624733,0.5379999876022339,17.952280039776124,0.09399999678134918,,,42.28964194559538,0.10499999672174454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.084006345243981,0.9929999709129333,,,12.194329046039316,0.9980000257492065,15.419190686464225,0.9980000257492065,5.978614916144031,1.0,2.2523700755452265,1.0,6.140703890654619,1.0,6.932375560432082,1.0,6.4001856041915275,0.9769999980926514,3.3713509055478,0.8790000081062317,2.735459857564345,1.0,6.260617186053692,0.8560000061988831,,,10.089444255263764,0.7639999985694885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
16,6.5490220083949735,0.9990000128746033,,,5.063321326073587,0.9919999837875366,11.46949486142776,0.9869999885559082,,,4.395568434811449,0.9950000047683716,3.2143982268009763,0.9900000095367432,1.6748072265984524,1.0,,,3.709006502926893,0.9990000128746033,4.239891611898312,0.847000002861023,19.272779263829566,0.9890000224113464,,,9.041525764172336,0.9990000128746033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.940958290342394,0.10400000214576721,,,7.2793313314782,0.5450000166893005,3.706700943208778,0.9990000128746033,5.512986470659908,1.0,2.503920982234551,1.0,1.465734039578736,1.0,10.957979373861185,1.0,2.696772826042267,0.9990000128746033,,,0.366574101824493,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,similar
